simpleview_listing_accountid,simpleview_listing_ACCTID,simpleview_listing_LONGITUDE,simpleview_listing_CITY,simpleview_listing_LISTINGKEYWORDS,simpleview_listing_ALTPHONE,simpleview_listing_TOLLFREE,simpleview_listing_SOCIALMEDIA,simpleview_listing_FAX,simpleview_listing_EMAIL,simpleview_listing_ADDR3,simpleview_listing_ZIP,simpleview_listing_ADDR1,simpleview_listing_PHONE,simpleview_listing_ADDR2,simpleview_listing_LATITUDE,simpleview_listing_WEBURL,simpleview_listing_LOGOFILE,simpleview_listing_STATE,simpleview_listing_LISTINGID,Listing Category one,Listing Region,Listing Amenity,ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image ID,Listing Category Two
32,105,-91.3957035542,Natchez,,,(888) 304-5378,,,comfort@dshieldsusa.com,,39120,718 N. Union Street,(601) 304-5378,,31.56487905,http://www.dshieldsusa.com/index.php?e=59,,MS,32,STAY>Bed &amp; Breakfasts,,,1043,Aunt Clara's Cottage,"Aunt Clara's Cottage bed and breakfast provides four spacious rooms in a charming 1870's
Victorian with heart pine floors, large veranda and ample sitting areas. There is also a reading room. 
The Cottage rooms are popular for budget conscious guests, and family and group getaways desiring privacy.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/aunt-claras-cottage/,1044,
40,115,-91.3959074020,Natchez,,,,,,book@theburnbnb.com,,39120,712 N. Union Street,(601) 442-1344,,31.565199,http://www.theburnbnb.com,,MS,40,MEETINGS>Venues,Downtown,Breakfast Included|Historic Property|Internet Access|Outdoor Pool|Private Bath,1045,"Burn, The",This classic 1834 Greek Revival historic home offers 5 comfortable rooms for overnight accommodations. The house is located close to downtown and has a pool for guest use when weather permits. Visit their website for more details on rooms and rates.,,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/burn-the/,1046,
47,122,-91.4182957534,Natchez,,,,,,glenfieldbb@bellsouth.net,,39120,6 Glenfield Lane,(601) 442-1002,,31.54356901,http://www.glenfieldplantation.com,,MS,47,STAY>Bed &amp; Breakfasts,,Breakfast Included|Credit Cards Accepted|Historic Property|Internet Access|Pets Allowed (under 25lbs)|Private Bath,1047,Glenfield,"Built in two distinct architectural periods (1787 Spanish and 1840 English Gothic), Glenfield Plantation is a one level Bed and Breakfast, historically preserved, and has been in the same family for seven generations. Glenfield Plantation still rest on the original 150 acre Spanish Land Grant, and witnessed one of the few Civil War skirmishes in the Natchez area. Listed on the National Register of Historic Places,Glenfield Plantation offers visitors and guest a tranquil setting, private accommodations, and modern amenities. Located 1 mile from downtown Natchez, MS, Glenfield welcomes children of all ages, and is pet friendly.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/glenfield/,1048,
51,392,-91.3840164000,Natchez,,,,,,lindenbandb@gmail.com,,39120,1 Conner Circle,(769) 355-2127,,31.5522181,http://www.lindenbandb.com,,MS,51,STAY>Bed &amp; Breakfasts,,Breakfast Included|Coffee Maker|Credit Cards Accepted|Free Parking Lot Available|Hair Dryer|Historic Property|Internet Access|Iron &amp; Board|Long Term Stay Available|Meeting Space Available|Off Street Parking|Private Bath|Wireless Internet in Room,1049,Linden,"When you come to stay at Linden, you will reside within the walls of the home; there are no dependencies or out-buildings at Linden. You will be served breakfast in the formal dining room, as favored guests should. After breakfast you will be treated to a tour of Linden, usually given by the owner, Mrs. Jeanette Feltus. Please visit our website for more details.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/linden/,1050,
53,127,-91.4106220000,Natchez,,,,,,info@underthehillsaloon.com,,39120,25 Silver Street,(601) 446-8023,,31.55954,http://www.underthehillsaloon.com,,MS,53,STAY>Bed &amp; Breakfasts,,Breakfast Included|Credit Cards Accepted|Downtown Walking Distance|Historic Property|Internet Access|Laundry Facility Available|Pets Allowed (under 25lbs)|River Views,1051,Mark Twain Guesthouse,"This unique property is located above the truly historic Under-the-Hill Saloon, once the hangout for renegades, thieves, prostitutes and cut-throats. One of the rooms opens up onto a narrow balcony and breathtaking views of the Mississippi River. The guest rooms are simple but comfortably furnished and share a common bathroom. If you're up for some action, the bar downstairs has live entertainment on the weekends, and you'll love being able to just meander downstairs, have a few cocktails and know that you don't have to drive an inch. You can also take the short walk down the street to the Isle of Capri Casino for a little gaming action.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/mark-twain-guesthouse/,1052,
57,131,-91.3854146004,Natchez,,,(800) 828-4531,,,luxury@monmouthplantation.com,,39120,1358 John A. Quitman Boulevard,(601) 442-5852,,31.55372578,http://www.monmouthhistoricinn.com/,,MS,57,EAT>Local Flavor,,,1053,Restaurant 1818 at Monmouth Historic Inn,"Enjoy a true Antebellum dining experience inside the Main House at Monmouth Historic Inn, a great place to celebrate the holidays and special occasions - or make new memories, for dining at Monmouth makes every moment memorable. Known for: Exquisite Fine Dining * Impeccable Service * Casual Dining in the Quitman Lounge or Courtyard. *One of 10 Dreamy Dining Destinations,* Yahoo Travel",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/restaurant-1818-at-monmouth-historic-inn/,1054,
58,133,-91.3834233000,Natchez,,,,,,,,39120,175 Hwy. 61 South,(601) 445-4581,,31.5145956,,,MS,58,EAT>Local Flavor,Highway 61 S,,1055,Bellemont Shake Shop,"It may not take you back to the days of car hops and rock-n-roll, but the Bellemont Shake Shop will conjure up memories of drive-ins from days gone by. Some locals would take a strong stance and argue that this Natchez restaurant serves the best burger in town, and maybe so, but you can count on it being one of the best you ever tasted, especially if you've eaten just about all the Mickey D's burgers along your Mississippi travel route you can consume.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/bellemont-shake-shop/,1056,
61,135,-91.4031710000,Natchez,,,,,,dunleith@dunleith.com,,39120,84 Homochitto Street,(601) 897-6300,,31.5604442,http://www.dunleith.com/inn/the-castle-restuarant.cfm,,MS,61,EAT>Local Flavor,,Credit Cards Accepted,1057,"Castle Restaurant & Pub, The","Located in an original 1790's carriage house and stables, The Castle is the perfect setting for a wonderful dining experience. Having received the Wine Spectator, ""Award of Excellence"" since its opening in December of 2000, The Castle Restaurant has a wine selection compared to no other establishment in our area.

The Castle Pub is a cozy English-style pub with an extensive bar and signature drink menu. Here, guests can order from The Castle Restaurant or select appetizers from the Pub menu. The Pub boasts a large selection of domestic and foreign beers.
""Open 7 days for breakfast 7:30-10am, lunch 11-2pm, and dinner 6-9pm Mon-Thu/6-10pm Fri & Sat.""",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/castle-restaurant-pub-the/,1058,
63,137,-91.4009925000,Natchez,,,,,,,,39120,401 High Street,(601) 445-5151,,31.5625904,http://www.stantonhall.com/catering-menus.php,,MS,63,EAT>Local Flavor,,,1059,Carriage House Restaurant,"The Carriage House Restaurant on the grounds of Stanton Hall, specializes in delicious southern food, and is prepared with care by the hands and staff of Chef Bingo Starr of New Orleans. Chef Starr has taken great care to preserve the long standing favorite dishes of local patrons and brought a few new succulent entrees with his signature style to the menu like fried soft-shell crab. The Carriage House is owned and operated by the Pilgrimage Garden Club and is located on the Northwest corner of the grounds of historic Stanton Hall.
Be sure to take your tour of Stanton Hall either just before or after lunch so you can enjoy viewing the house while you dine, through the big bay window that centers this Mississippi restaurant's facade. Reservations are not necessary, and the restaurant is closed on Monday and Tuesday. Lunch on Wednesday is reserved for the Rotary Lunch so be sure you put it on your itinerary for the weekend.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/carriage-house-restaurant/,1060,
64,138,-91.4034819603,Natchez,,,,,,oakhillinn@bellsouth.net,,39120,409 S. Rankin Street,(601) 446-2500,,31.55517029,http://www.historicoakhill.com/,,MS,64,STAY>Bed &amp; Breakfasts,Near Downtown,Breakfast Included|Credit Cards Accepted|Downtown Walking Distance|Historic Property|Internet Access|Private Bath,1061,1835 Oak Hill Inn,"Our main suite downstairs contains a queen-size half tester bed, full bath with a luxurious shower, a refrigerator stocked with soft drinks and spring water, and its own entrance to the study. Two bedrooms are featured upstairs, one of which contains a beautiful tester double bed and a single bed for extra occupancy.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/1835-oak-hill-inn/,1062,HISTORIC SITES &amp; HOMES>Homes
73,147,-91.4031710000,Natchez,,,,,,chiyanlaw@aol.com,,39120,105 Northgate Road,(601) 446-8828,,31.5604442,,,MS,73,EAT>Local Flavor,Highway 61 N,,1063,El Potro Restaurant Grill,"El Potro is situated on the outskirts of town, but you won't mind the short drive to indulge in the fare of this locally popular Mexican restaurant. There is strong competition between the several ""South of the Border"" establishments located in Natchez, and locals will argue as to which is best. Those in favor of El Potro, claim their dishes have the freshest ingredients, and the portions are larger than that of their competitors. Just make sure you bring a big appetite with you when you head to El Potro because you won't walk away hungry.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/el-potro-restaurant-grill/,1064,
77,151,-91.4069283000,Natchez,,,,,601-442-0206,info@fatmamastamales.com,,39120,303 S. Canal Street,(601) 442-4548,,31.5597611,http://www.fatmamastamales.com,,MS,77,EAT>Local Flavor,Downtown,Downtown Walking Distance|Internet Access|Restaurant,1065,Fat Mama's Tamales,"Fat Mama's Tamales is another local favorite and the atmosphere is as festive as the food. Their signature entree is their great tamales, but feel free to toss in a link of boudin (pronounce boo-dan) or some fire and ice pickles to spice up your Fat Mama's dining experience just a tad more. There is a large interior dining room that's heated and cooled, but if the weather is nice you'll have to fight for a table out on the shaded deck.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/fat-mamas-tamales/,1066,
83,155,-91.4104342461,Natchez,,,,,,drajhall@bellsouth.net,,39120,217 John R. Junkin Dr.,(601) 445-8999,,31.55085496,,,MS,83,EAT>Local Flavor,Near Downtown,,1067,Jughead's Fish Fry,"Family traditions are a staple in the Natchez area, and when it comes to food, they bare even more weight. Jughead's does just that. Their current location is relatively new, especially when you consider that the current owner's grandfather closed the original Jughead's about twenty-five years back. The great thing though, is that the family recipes have all been handed down, and they bring back memories to the locals who used to drive over twenty miles to the original restaurant. It was located inside the levee toward the Mississippi River, South of Vidalia, Louisiana, and you knew to go there hungry because you'd be treated to all you could eat.
Fried shrimp, oysters, catfish, and pickles are the popular dishes among locals, but you'll want to ask for extra hush puppies because that's their specialty. Don't try asking for their hush-puppy recipe because the most you'll get out of them is a sly grin.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/jugheads-fish-fry/,1068,
87,157,-91.4074516296,Natchez,,,,,,ignacio@cableone.net,,39120,288 John R. Junkin Drive,(601) 445-0720,,31.54639314,,,MS,87,EAT>Local Flavor,Near Downtown,,1069,La Fiesta Grande,"La Fiesta Grande was Natchez' first full-service Mexican restaurant, and as it grew in popularity, always seemed to need more space. It landed at it's current location on the by-pass, and just about any time of the day you'll see a packed parking lot. The reason for that is the fantastic food they serve. Enchiladas, Burritos, Quesadillas, Tacos, Nachos, and all your south of the border favorites are available, and they offer burgers and chicken strip meals for those who don't dare brave the spicy entrees. The atmosphere is always lively, and on occasion a mariachi band will wind it's way through the tables.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/la-fiesta-grande/,1070,
90,160,-91.4108838000,Natchez,"restaurant, local flavor, food, foodie, good eats, restaurants, magnolia, grill, under the hill, riverview",,,,,jparks28@cableone.net,,39120,49 Silver Street,(601) 446-7670,,31.5596401,http://www.magnoliagrill.com,,MS,90,EAT>Local Flavor,Downtown,,1071,Magnolia Grill,"Overlooking the mighty Mississippi at Natchez Under-the-Hill, Magnolia Grill not only has one of the best views of the river, they offer a menu with a wide array of entrees to satisfy nearly every palate. From succulent steaks and seafood, to one of the best burgers you'll ever have. They serve lunch and dinner, and if you are lucky enough to get a corner table on the sun porch at dinner time, you may be treated to a spectacular sunset while you dine. Reservations aren't necessary, but for the best view of the river you'll want to ask for a table on the porch.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/magnolia-grill/,1072,
91,161,-91.3466716000,Natchez,"historic, historic site, food, foodie, restaurant, sandwiches",,,,,lorna19@me.com,,39120,555 Hwy. 61 South,(601) 445-8957,,31.5652591,,,MS,91,EAT>Local Flavor,Highway 61 S,,1073,Mammy's Cupboard,"Many consider this unique restaurant a national treasure, and you won't find another like it anywhere in the world. As you can see from the photo of the restaurant, it lies beneath the skirt of a forty foot tall mammy. They only serve lunch, but the food is wonderful and goes perfectly with the atmosphere. They offer a daily hot plate special, like chicken & dumplings or beef pot pie, but they are famous for their great sandwiches, each of which is served with a side of homemade vegetable soup and a scoop of potato salad. The best part is their desserts, so save room for a piece of lemon or chocolate pie with meringue piled as high as Mammy's skirt.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/mammys-cupboard/,1074,
92,107,-91.4015005000,Natchez,,,,,,coffeeshopgirl60@gmail.com,,39120,509 Franklin Street,(601) 304-1415,,31.5603989,,,MS,92,EAT>Local Flavor,Downtown,,1075,Natchez Coffee Company,"The Natchez Coffee Company is more than just a coffee shop. Sure they offer coffee, espresso, and flavored cappuccinos, but they also serve sandwiches, salads, and blue bell ice cream. Wireless Internet is available, so bring your laptop to check your e-mail while you treat yourself to a chai tea or cup of joe.
Natchez Coffee Company is located within walking distance of downtown hotels and a number of Natchez area B & B's, and sits right in the midst of downtown shops. Locals gather there for morning coffee, so stop in early and perhaps they'll fill you in on some Natchez history while you're there.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/natchez-coffee-company/,1076,
94,163,-91.4031710000,Natchez,"food, BBQ, barbeque, burger, foodie, restaurant",,,,,glorianeames@hotmail.com,,39120,4 Homochitto Street,(601) 445-4843,,31.5604442,,,MS,94,EAT>Local Flavor,Downtown,,1077,"Malt Shop, The","The Malt Shop is not a typical dining establishment for visitors, but if you asked a local where you can find the best burger in town, bar-b-que beef sandwich, or a catfish plate, they'll be tempted to tell you ""the Malt Shop."" Anyone who's grown up in Natchez in the last 60 years, has indulged in more than their fare share of Malt Shop food. If you order the burger plate, you'd better be hungry because they put two deluxe burgers in the box with your fries or curly cues. The next size burger on the menu is the Jumbo burger, and if you have a real hearty appetite, see if you can handle their famous 1/2 pound ""Big Daddy"" burger. You can't dine in, but there is a large picnic table out front, and you'll know a lot of the locals that have eaten there over the years because their names are most likely carved into the table's top. It's what everyone did while they were waiting on their order.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/malt-shop-the/,1078,
95,213,-91.4032854000,Natchez,,,,,,,,39120,105 S. Pearl Street,(601) 442-9284,,31.5601488,http://www.pearlstreetpasta.net,,MS,95,EAT>Local Flavor,Downtown,,1079,Pearl Street Pasta,"Another downtown local favorite, Pearl Street Pasta, named for it's location, serves up a wonderful variety of pasta dishes, as well as a beautiful, delicious filet of beef with a rich wine sauce and sauteed mushrooms. Sure, you'll get your standard Italian dishes like spaghetti and meat sauce, lasagna, and fettuccine Alfredo, but Pearl Street takes their pasta dishes to a little higher level, especially when they add a Cajun kick to them. Be sure to try the Cajun shrimp or crawfish and shrimp pasta dishes. Pearl Street also has some very talented mixologists on staff, so if you want to amble up to the bar for a smooth martini before dining, ask the bartender to whip up one of their house specials. Don't be in a rush to get through your dining experience, not because the service is slow, but just because you'll want to hang out there a while.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/pearl-street-pasta/,1080,
96,215,-91.4061273000,Natchez,,,,,,pigoutbbq@hotmail.com,,39120,116 S. Canal Street,(601) 442-8050,,31.5609619,http://www.pigoutinnbbq.com/,,MS,96,EAT>Local Flavor,Downtown,Credit Cards Accepted|Outdoor Dining Available,1081,Pig Out Inn,"If you're walking around downtown Natchez and smell a wonderful hickory based aroma coming from somewhere, just follow your senses to The Pig Out Inn. Tender ribs, chicken, and pork all smoked on a grill just outside the back door await your tastebuds, and side dishes like black bean and corn salsa, potato salad, and baked beans with mustard seeds are there to compliment whichever dish you choose.
When the weather is just too delightful to dine indoors, grab your lunch to go and follow the alley to the bluff, grab a picnic table and enjoy your meal while viewing the mighty Mississippi River.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/pig-out-inn/,1082,
97,166,-91.4019232000,Natchez,,,,,,ann_k_us@yahoo.com,,39120,116 N. Commerce Street,(601) 442-4220,,31.5601166,http://www.planetthailandnatchez.com/,,MS,97,EAT>Local Flavor,Downtown,,1083,Planet Thailand,"The Karahsin family moved to the U.S. in the late 1990's and opened Planet Thailand in a small Louisiana town about 40 miles from Natchez, but Natchezians loved it so much they would travel the forty plus miles just to eat sushi. After a few years of driving the distance, several Natchez regulars convinced the family to bring the restaurant to Natchez, promising to frequent the establishment often. Well they did, and we do. Locals can always be found indulging in the succulent spicy dishes the family creates at Planet Thailand, so be sure to add it to your dining itinerary during your stay.",,2023-01-13,listing,https://main-bvxea6i-runeyo4tk5cae.us-4.platformsh.site/listing/planet-thailand/,1084,
