id,subtype,is_active,name,slug,body,meta_title,meta_description,meta_keywords,searchable,deleted_at,created_at,updated_at,is_converted
11,search,1,Sports - Calendar of Events,calendar-of-events,,Calendar of Events,,,Sports - Calendar of Events Calendar of Events,,2017-08-09 14:22:25,2019-07-17 14:20:02,1
12,default,1,How To Apply,how-to-apply,,How To Apply,,,"How To Apply How To Apply Attachment: 20171030144446-Hdr-Sports-General.jpeg 20171030144446-hdr-sports-general.jpeg Deck Sponsorship Opportunities It is the intent of the Bradenton Area Sports Commission (BASC) Sponsorship Program to facilitate and foster the growth of sporting events in Manatee County and increase visitor travel, hotel stays, traffic to restaurants and other attractions in Manatee County which will generate both out-of-county and out-of-state economic impact. Article-Subsection Sports Event Sponsorship Program The BASC has created the Sports Event Sponsorship Program to assist event organizers with funding towards their event in Manatee County. Events will be awarded funding through an online software administered by the Sports Commission staff. There is an application and post event process. Please complete the application and submit to the BASC. If approved you will receive an approval email outlining all requirements. Each funded event will be required to submit a post report, with backup documentation, within 30 days of the event in order receive funding. Below are requirements and backup documentation for funding. All sporting organizations and events are eligible and will be evaluated based upon the following requirements and backup documentation: Event collateral showing Bradenton Area Sports Commission logo AND URL. (Flyers, banners, signs, e-blast, website, etc) Completed Hotel Information Form or Housing Bureau Documentations Copy of event photos or action photos during the course of play Proof of participant involvement (Schedules, rosters, etc) Proof of spectator involvement (Picture of crowd, ticket sales, etc) Copy of paid invoice Apply for a sponsorship.",,2017-08-09 14:22:43,2019-08-13 13:56:18,1
13,default,1,Sports Playbook,sports-playbook,,Sports Playbook,,,"Sports Playbook Sports Playbook Attachment: 20171030144446-Hdr-Sports-General.jpeg 20171030144446-hdr-sports-general.jpeg Deck World-class facilities for high-performance athletes The Bradenton Area Sports Commission Playbook is your guide for all things sports. The Playbook is full of useful information to help athletes take your game to the next level, as it has for individuals and teams--from amateur to pro--for decades. Find out about our world-class sports facilities, programs, area resources, and more. View the Playbook",,2017-08-09 14:22:55,2018-10-02 11:02:39,1
14,default,0,Testimonials,testimonials,,Testimonials,,,Testimonials Testimonials Attachment,,2017-08-09 14:23:08,2019-08-29 11:56:28,1
15,default,0,Post Event Photos,post-event-photos,,Post Event Photos,,,Post Event Photos Post Event Photos Attachment,,2017-08-09 14:23:20,2019-08-29 11:55:09,1
16,default,0,Volunteer,volunteer,,Volunteer,,,Volunteer Volunteer Attachment,,2017-08-09 14:23:34,2019-08-29 12:02:29,1
17,default,0,Sports Editorials,sports-editorials,,Sports Editorials,,,"Sports Editorials Sports Editorials Attachment: 20171030143023-Hdr-Rowing-Champs.jpeg 20171030143023-hdr-rowing-champs.jpeg Deck Sports coverage in our area The Bradenton area is a sports-loving community, for all levels of play in tournaments and training. Read below to get some great Bradenton Area sports coverage.",,2017-08-09 14:23:45,2019-08-29 11:56:01,1
18,navigation,1,Meetings,meetings,,Group Meetings | Meeting Facilities | Bradenton Gulf Islands,The Bradenton area is home to some of the best meeting accommodations in Florida.  Learn more about meeting planning services and book your next group meeting.,,"Meetings Group Meetings | Meeting Facilities | Bradenton Gulf Islands The Bradenton area is home to some of the best meeting accommodations in Florida. Learn more about meeting planning services and book your next group meeting.Attachment: 20170929200422-Hdr-Meetings.jpeg Meetings that inspire the mind 20170929200422-hdr-meetings.jpeg Deck Need some place special to host your next conference or company retreat? This is it. In addition to two distinct facilities, we offer numerous hotel meeting spaces, including luxury beach resorts and unique waterfront venues. Of course, with views that inspire creative ideas, the beach is an unforgettable meeting destination any time of year. Html Container Tout: Meetings - Faq Meetings - FAQ FAQs Get answers to our most Frequently Asked Questions about meetings and event planning in the Bradenton area. Tout: Meetings - Contact U Meetings - Contact us Contact us Let us help you create a successful meeting. Contact us for more information.",,2017-08-09 14:24:17,2023-08-21 16:39:17,1
19,default,1,Request For Proposal - Meetings,request-for-proposal,,Request For Proposal,,,"Request For Proposal - Meetings Request For Proposal Attachment: 20171017140325-Hdr-Search.jpeg Request For Proposal 20171017140325-hdr-search.jpeg Deck Looking for a place to host your next conference, social event or company retreat? Look no further than the Bradenton area in Florida. Not one, but two, distinct facilities serve the area in addition to numerous hotel meeting spaces and unique venues. Resort and lodging options are available in Anna Maria Island, Bradenton, Longboat Key, and Lakewood Ranch areas. Contact Us and Request Information Let us help you create a successful meeting. For information or questions please contact us or complete the form below. Aimee Blenker, CMP Destination Sales Manager 1 Haben Boulevard Palmetto, FL 34221 941-729-9177 ext. 3960 Aimee.Blenker@BACVB.com Form",,2017-08-09 14:24:32,2018-10-02 11:02:40,1
20,default,1,Meeting and Event Accommodations,group-accommodations,,Meeting and Event Accommodations,,,"Meeting and Event Accommodations Meeting and Event Accommodations Attachment: 20171012193223-Hdr-Hotels-Resorts.jpeg 20171012193223-hdr-hotels-resorts.jpeg Deck When it comes to accommodations, the choices are almost endless--even for large groups.&nbsp;The Bradenton Area is the perfect place for any meeting or convention, the area offers a variety of hotel accommodations with meeting &amp; conference space. Scroll through the options below to find one that fits your meeting or convention group needs. Attachment: 20171007192829-Country-Inn-Carlson.jpeg Country Inn & Suites by Carlson The Country Inn &amp; Suites By Carlson&reg;, Bradenton at I-75, FL is ideal for families and sports teams in town for games or camps at Premier Sports Campus, Ellenton Ice &amp; Sports Complex and IMG Academies, all within 10 miles. The hotel is also within walking distance of several restaurants for added convenience. When it is time to relax, trade in your team uniform for a swimsuit and head 25 minutes west to some of the area's best beaches, including Lido Key and Siesta Key. Feel free to stay put and enjoy a refreshing plunge in our hotel&rsquo;s outdoor pool. Be sure to stop by the lobby for a free cookie and a book from the Read It &amp; Return Lending LibrarySM before sinking into your room's Serta&reg; Elite mattress. 5610 Manor Hill LaneBradenton, FL 34203(941) 363-4000Website 20171007192829-country-inn-carlson.jpeg Attachment: 20171109150215-Courtyard-Marriott-Riverfront.jpeg Courtyard by Marriott Bradenton/Sarasota Riverfront Courtyard by Marriott Bradenton Sarasota/Riverfront is located directly on the Manatee River near the Gulf of Mexico, adjacent to downtown Bradenton and just eight miles from the Sarasota Bradenton International Airport. The Bradenton Area Convention Center is located one mile from the hotel and only seven miles from the white sandy beach of Anna Maria Island. &nbsp; 100 Riverfront Drive West Bradenton, FL 34205 941-747-3727Website 20171109150215-courtyard-marriott-riverfront.jpeg Attachment: 20171007192829-Courtyard-Marriott.jpeg Courtyard by Marriott Sarasota/University Park Located a quick walk to the new Mall at UTC, only 6 miles from Sarasota Bradenton International Airport, and surrounded by restaurants, the Courtyard by Marriott&reg; Sarasota University Park/Lakewood Ranch Area features a large lobby with inviting spaces to work or relax, free Wi-Fi throughout and easy access to the latest news, weather and airport updates via our 52&rdquo; GoBoard&trade;. 8305 Tourist Center DriveUniversity Park, FL 34201(941) 360-2626Website 20171007192829-courtyard-marriott.jpeg Attachment: 20171109150214-Hampton-Downtown.jpeg Hampton Inn & Suites Bradenton Downtown Historic District Our historic 114 room hotel is located within walking distance to Downtown Bradenton&rsquo;s shops and restaurants as well as Bradenton&rsquo;s Riverwalk. We offer spacious guest rooms including suites and accessible rooms. When staying with us, enjoy a complimentary Hampton hot breakfast every day, a clean and fresh Hampton bed, free hi-speed internet access in every room, gym/fitness center and heated outdoor pool. 309 10th Street, W. Bradenton, FL 34205 941-746-9400Website &nbsp; 20171109150214-hampton-downtown.jpeg Attachment: 20171007192830-Hampton-Sarasota.jpeg Hampton Inn & Suites Sarasota/University Park The four-story hotel features 102 beautifully appointed rooms and a select number of studio suites, conveniently located off I-75 and just six miles away from the Sarasota/Bradenton Airport. The hotel is situated in the Lakewood Ranch area, across from rowing regattas at Nathan Benderson Park near downtown Sarasota and Bradenton. 8565 Cooper Creek Blvd.University Park, FL 34201(941) 355-8619Website 20171007192830-hampton-sarasota.jpeg Attachment: 20171007192831-Holiday-Inn-Express.jpeg Holiday Inn Express & Suites – Bradenton East / Lakewood Ranch The Holiday Inn Express &amp; Suites Bradenton East &ndash; Lakewood Ranch area offers the latest in hotel style and amenities to make your vacation or business trip a success. Located directly off of I-75 at exit #217 State Road 70 East, the hotel is within minutes from a wide array of business and leisure destinations includingEllenton Outlets, the luxurious Gulf Beaches, St. Armands Circle, the Premier Sports Campus, Nathan Benderson Park, Myakka State Park, championship level golf courses, and Lakewood Ranch Community. Numerous restaurants are also located nearby. 5464 Lena Rd.Bradenton, FL 34211(941) 755-0055Website 20171007192831-holiday-inn-express.jpeg Attachment: 20171207164055-20171207144451-Holiday-Inn-Express-And-Suites-Bradenton-2533061742-4X3.jpeg Holiday Inn Express & Suites Bradenton West This Bradenton hotel is three miles from the Gulf of Mexico, close to jet skiing, sailing and fishing. Sunbathe on our beautiful pool deck. Our hotel offers the best for either vacation or business. &nbsp; 4450 47th Street West Bradenton, FL 34210 941-795-4633 Website 20171207164055-20171207144451-holiday-inn-express-and-suites-bradenton-2533061742-4x3.jpeg Attachment: 20171007192833-Holiday-Inn-Lakewood-Ranch.jpeg Holiday Inn Lakewood Ranch Holiday Inn Lakewood Ranch is an ideal location for your next business meeting or group event. We have three banquet and meeting rooms with 2,500 square feet of flexible space. The largest room can accommodate over 100 people, and the smallest is perfect for intimate gatherings or corporate meeting gatherings. Banquet catering, technical support and equipment, and professional event planners are available to assist with making your event a success. 6231 Lake Osprey DriveSarasota, FL 34240(941) 782-4400Website 20171007192833-holiday-inn-lakewood-ranch.jpeg Attachment: 20171109150215-Holiday-Inn-Sarasota.jpeg Holiday Inn Sarasota Bradenton Airport Enter the first Manatee County constructed GREEN Hotel with spectacular 6-story atrium, glass elevators and waterfall. Unwind from a hectic day of travel in our beautifully appointed lobby. The furnishings are accented for comfort and relaxation, but have a high level of upscale elegance. Sporting News Grill is the latest concept in Sports Bars/Restaurants with nine 50&rdquo; HDTVs with all the latest sports action and an outside terrace for al fresco dining and relaxing around the fire-pit conversation area. The restaurant is open for breakfast, lunch and dinner (til 11pm) featuring great steaks, chops, awesome burgers, fresh seafood, huge salads and bar appetizers. The bar offers Happy Hour from 4pm - 7pm Monday thru Friday and all day Saturday and Sunday. Room Service is available from 6am - 11pm. Our exceptional recreational facilities include state-of-the-art fitness center, spa, indoor pool, hot tub, sauna, steam room and outside cabana area. The Hotel is minutes from IMG Academy, major sports venues, area attractions, beaches, PGA Golf Courses and Ringling Museum, Asolo and Van Wezel Theaters. Adjacent to the Sarasota Bradenton International Convention Center and to the Sarasota Bradenton International Airport, convenience is the name of the game. The hotel is located just minutes from area attractions, beaches, boating and many area PGA golf courses. A perfect getaway hotel. Meeting space is available for groups from 10 to 100 with additional space available in the adjacent Convention Center, just steps away. All Sleeping Rooms are beautifully appointed an equipped with every convenience, and complimentary wireless Internet service. The Business Center is located on the main level. What a perfect location for Weddings, Meetings and any Social Event. &nbsp; 8009 15th Street East Sarasota, FL 34243 941-355-9000 Website 20171109150215-holiday-inn-sarasota.jpeg Attachment: 20171108143625-Hyatt-Sarasota-Lakewood.jpeg Hyatt Place Sarasota/Lakewood Ranch The Hyatt Place Sarasota/Lakewood Ranch is convenietly located near all types of restaurants, exciting attractions, beautiful natural parks and large-scale shopping malls. What's more, the hotel is situation by Interstate 75 right off the University Parkway Exist and three area airports - meaning you can always get where you need to go. 6021&nbsp;Exchange WayLakewood Ranch, FL 34202941-748-3100Website 20171108143625-hyatt-sarasota-lakewood.jpeg Attachment: 20171007192831-Ramada-Waterfront-Hotel.jpeg Ramada Waterfront Hotel Make your visit to Sarasota a rejuvenating experience at Ramada Sarasota hotel. Located off Route 41 on the Sarasota Bay waterfront, the hotel is near the Sarasota Bradenton International Airport and just minutes from beautiful white sandy beaches and crystal clear water. Free Parking for buses. Complimentary deluxe continental breakfast, free Wifi, 24-7 Business Center, heated tropical pool, restaurant and Tiki bar on site. Close to many area attractions. Beautiful Florida sunsets are free! 7150 N Tamiami TrlSarasota, FL 34243(941) 358-1000Website 20171007192831-ramada-waterfront-hotel.jpeg Attachment: 20180226151941-Artist-Townsend.jpeg Waterline Marina Resort & Beach Club A modern resort offering new experiences and distinct amenities while delivering the Old Florida authenticity of Anna Maria Island.Off the coast of Florida, just west of Bradenton is where you&rsquo;ll find quaint little Anna Maria Island. It is an experience of history and heritage &ndash; Old Florida preserved by the sun for the next generation of visitors. 5325 Marina DriveHolmes Beach, FL 34217(844) 863-9443Website 20180226151941-artist-townsend.jpeg Attachment: 20171208204305-20171109150215-Zota.jpeg Zota Beach Resort Enjoy contemporary cool on Longboat Key at the new Zota Beach Resort. Beautifully located on the Gulf of Mexico, Longboat&rsquo;s newest luxury beach resort will feature modern architectural touches along with stylish accommodations and distinctive dining experiences. At Zota Beach Resort, you&rsquo;ll enjoy relaxed beachfront luxury along with easy access to the upscale shopping and restaurants at St. Armand&rsquo;s Circle, exhilarating watersports and more. You are also invited to indulge in a variety of resort amenities ideal for family vacations and romantic weekend getaways, including our sundrenched outdoor pool area and chic wine bar. And with over 2,500 square feet of event space, Zota Beach Resort is an ideal choice for meetings, weddings and special events. &bull; 187 total room with 30 suites &bull; 2,756 Sq. Ft. of meeting space &bull; Exceptional beachfront location on Longboat Key &bull; Secluded island ambience yet with easy access to local attractions and two international airports &bull; Newly designed, architecturally modern resort &bull; Sun-drenched pool area, stylish restaurant and wine bar &bull; 103 completely renovated guest rooms plus brand new 84-room tower 4711 Gulf of Mexico Dr.Longboat Key, FL 34228855-660-6266Website 20171208204305-20171109150215-zota.jpeg ",,2017-08-09 14:24:50,2019-03-18 13:15:38,1
